Edge Relation,Edge Weight,Edge Color,Wheelchair,Steep Incline
Fullerton Marriott to 111,999,black,Yes,No
Fullerton Marriott to 112,999,black,Yes,No
1 to 2,220,black,Yes,No
1 to 39,160,black,Yes,No
2 to 27,144,black,Yes,No
2 to 3,69,black,Yes,No
3 to 4,113,black,Yes,No
4 to 25,78,black,Yes,No
4 to 5,175,black,Yes,No
5 to 25,181,black,Yes,No
5 to 6,179,black,Yes,No
6 to 7,131,black,Yes,No
7 to 8,72,black,Yes,No
8 to 9,65,black,Yes,No
8 to 12,94,black,Yes,No
9 to 10,86,black,Yes,No
10 to 11,94,black,Yes,No
11 to 13,111,black,Yes,No
11 to 19,106,black,Yes,No
12 to 13,76,black,Yes,No
13 to 14,67,black,Yes,No
14 to 19,109,black,Yes,No
14 to 15,173,black,Yes,No
15 to 16,124,black,Yes,No
16 to 17,53,black,Yes,No
16 to 68,125,black,Yes,No
17 to 18,89,black,Yes,No
17 to 56,58,black,Yes,No
17 to 66,123,black,Yes,No
18 to 19,62,black,Yes,No
19 to 20,72,black,Yes,No
20 to 55,86,black,Yes,No
20 to 21,67,black,Yes,No
21 to 22,108,black,Yes,No
21 to 53,104,black,Yes,No
22 to 23,131,black,Yes,No
23 to 24,129,black,Yes,No
24 to 25,28,black,Yes,No
24 to 26,109,black,Yes,No
25 to 26,60,black,Yes,No
26 to 27,124,black,Yes,No
27 to 28,87,black,Yes,No
28 to 29,70,black,Yes,No
29 to 30,34,black,Yes,No
29 to 38,83,black,Yes,No
30 to 31,77,black,Yes,No
30 to 32,98,black,Yes,No
32 to 33,56,black,Yes,No
32 to 51,67,black,Yes,No
33 to 34,70,black,Yes,No
34 to 35,72,black,Yes,No
34 to 37,131,black,Yes,No
35 to 40,66,black,Yes,No
35 to 36,125,black,Yes,No
36 to 37,60,black,Yes,No
36 to 39,141,black,Yes,No
37 to 38,72,black,Yes,No
40 to 41,83,black,Yes,No
41 to 48,59,black,Yes,No
41 to 42,118,black,Yes,No
42 to 43,57,black,Yes,No
42 to 90,115,black,Yes,No
43 to 47,55,black,Yes,No
43 to 44,50,black,Yes,No
44 to 45,78,black,Yes,No
45 to 46,70,black,Yes,No
45 to 83,61,black,Yes,No
45 to 84,66,black,Yes,No
46 to 49,63,black,Yes,No
47 to 48,68,black,Yes,No
48 to 49,85,black,Yes,No
49 to 50,68,black,Yes,No
50 to 51,71,black,Yes,No
50 to 52,74,black,Yes,No
52 to 53,153,black,Yes,No
52 to 82,126,black,Yes,No
53 to 54,69,black,Yes,No
53 to 59,45,black,Yes,No
54 to 55,45,black,Yes,No
55 to 56,76,black,Yes,No
56 to 57,50,black,Yes,No
56 to 64,112,black,Yes,No
57 to 58,58,black,Yes,No
58 to 59,41,black,Yes,No
58 to 60,46,black,Yes,No
60 to 61,51,black,Yes,No
60 to 78,74,black,Yes,No
61 to 62,22,black,Yes,No
61 to 76,26,black,Yes,No
62 to 63,41,black,Yes,No
62 to 76,42,black,Yes,No
63 to 64,34,black,Yes,No
64 to 71,71,black,Yes,No
64 to 65,48,black,Yes,No
65 to 66,27,black,Yes,No
66 to 67,30,black,Yes,No
67 to 68,32,black,Yes,No
68 to 69,71,black,Yes,No
69 to 70,194,black,Yes,No
70 to 71,21,black,Yes,No
71 to 72,56,black,Yes,No
71 to 129,163,black,Yes,No
72 to 73,72,black,Yes,No
73 to 74,37,black,Yes,No
73 to 76,68,black,Yes,No
74 to 75,45,black,Yes,No
74 to 125,113,black,Yes,No
75 to 77,57,black,Yes,No
75 to 86,100,black,Yes,No
75 to 87,140,black,Yes,No
77 to 78,98,black,Yes,No
77 to 80,42,black,Yes,No
78 to 79,45,black,Yes,No
79 to 80,91,black,Yes,No
79 to 82,39,black,Yes,No
80 to 81,36,black,Yes,No
81 to 82,83,black,Yes,No
81 to 86,21,black,Yes,No
81 to 85,62,black,Yes,No
82 to 83,80,black,Yes,No
82 to 84,69,black,Yes,No
83 to 84,49,black,Yes,No
84 to 85,61,black,Yes,No
85 to 86,57,black,Yes,No
85 to 87,63,black,Yes,No
85 to 88,87,black,Yes,No
87 to 93,52,black,Yes,No
87 to 94,90,black,Yes,No
87 to 103,107,black,Yes,No
88 to 93,49,black,Yes,No
88 to 89,63,black,Yes,No
88 to 92,61,black,Yes,No
89 to 90,63,black,Yes,No
89 to 91,86,black,Yes,No
89 to 92,43,black,Yes,No
90 to 91,67,black,Yes,No
91 to 92,77,black,Yes,No
91 to 96,106,black,Yes,No
93 to 94,78,black,Yes,No
93 to 103,125,black,Yes,No
94 to 95,76,black,Yes,No
94 to 103,61,black,Yes,No
95 to 96,101,black,Yes,No
95 to 103,105,black,Yes,No
96 to 97,74,black,Yes,No
97 to 98,91,black,Yes,No
98 to 99,132,black,Yes,No
99 to 100,107,black,Yes,No
100 to 101,54,black,Yes,No
100 to 106,63,black,Yes,No
100 to 110,270,black,Yes,No
101 to 102,74,black,Yes,No
101 to 106,53,black,Yes,No
102 to 103,72,black,Yes,No
102 to 105,54,black,Yes,No
103 to 104,78,black,Yes,No
104 to 123,74,black,Yes,No
104 to 124,58,black,Yes,No
105 to 106,69,black,Yes,No
105 to 123,52,black,Yes,No
106 to 107,73,black,Yes,No
107 to 108,77,black,Yes,No
108 to 109,82,black,Yes,No
108 to 121,42,black,Yes,No
109 to 120,44,black,Yes,No
109 to 117,55,black,Yes,No
109 to 110,54,black,Yes,No
110 to 111,107,black,Yes,No
111 to 115,91,black,Yes,No
111 to 112,52,black,Yes,No
112 to 113,85,black,Yes,No
113 to Fullerton Marriott,999,black,Yes,No
113 to 114,27,black,Yes,No
113 to 115,35,black,Yes,No
114 to 116,68,black,Yes,No
115 to 116,37,black,Yes,No
116 to 117,62,black,Yes,No
116 to 118,61,black,Yes,No
117 to 120,43,black,Yes,No
118 to 117,41,black,Yes,No
118 to 119,37,black,Yes,No
118 to 129,58,black,Yes,No
119 to 120,38,black,Yes,No
121 to 120,70,black,Yes,No
121 to 122,41,black,Yes,No
122 to 123,125,black,Yes,No
122 to 126,45,black,Yes,No
124 to 125,40,black,Yes,No
125 to 126,55,black,Yes,No
126 to 127,34,black,Yes,No
127 to 128,45,black,Yes,No
127 to 129,78,black,Yes,No
128 to 73,40,black,Yes,No
